Ticket,Symbol,Type,Volume,OpenPrice,ClosePrice,OpenTime,CloseTime,Profit,Commission,Swap
108681680,EURUSD,BUY,1,1.1736,1.1736,2025-10-03T11:02:03.000Z,2025-10-03T11:02:03.000Z,-138,-2.93,0
108727088,USDJPY,SELL,1,147.218,147.218,2025-10-03T17:00:08.000Z,2025-10-03T17:00:08.000Z,-315.18,-2.5,0
108783705,EURUSD,SELL,1,1.17408,1.17408,2025-10-03T23:00:00.000Z,2025-10-03T23:00:00.000Z,182,-2.94,0
108819416,XAUUSD,SELL,0.5,3905.72,3905.72,2025-10-06T03:01:31.000Z,2025-10-06T03:01:31.000Z,-207.5,-4.88,0
108837825,XAUUSD,BUY,0.5,3914.21,3914.21,2025-10-06T04:52:13.000Z,2025-10-06T04:52:13.000Z,-242,-4.89,0
108840093,EURUSD,BUY,1,1.17256,1.17256,2025-10-06T05:00:49.000Z,2025-10-06T05:00:49.000Z,-144,-2.93,0
108878811,EURUSD,SELL,1,1.16984,1.16984,2025-10-06T09:46:27.000Z,2025-10-06T09:46:27.000Z,-141,-2.92,0
109007321,USDJPY,SELL,1,150.292,150.292,2025-10-06T22:00:00.000Z,2025-10-06T22:00:00.000Z,206.27,-2.5,0
109027110,XAUUSD,BUY,0.5,3973.26,3973.26,2025-10-07T03:19:27.000Z,2025-10-07T03:19:27.000Z,-214.5,-4.97,0
109030190,XAUUSD,SELL,0.5,3965.15,3965.15,2025-10-07T03:45:47.000Z,2025-10-07T03:45:47.000Z,-216.5,-4.96,0
109044373,EURUSD,SELL,1,1.16945,1.16945,2025-10-07T07:48:43.000Z,2025-10-07T07:48:43.000Z,-140,-2.92,0
109179557,USDJPY,SELL,1,151.818,151.818,2025-10-07T22:00:00.000Z,2025-10-07T22:00:00.000Z,596.11,-2.5,0
109186060,EURUSD,BUY,1,1.16504,1.16504,2025-10-07T23:00:00.000Z,2025-10-07T23:00:00.000Z,579,-2.91,0
109196562,XAUUSD,BUY,0.5,3994.62,3994.62,2025-10-08T02:48:01.000Z,2025-10-08T02:48:01.000Z,-241.5,-4.99,0
109206117,EURUSD,SELL,1,1.16397,1.16397,2025-10-08T04:00:07.000Z,2025-10-08T04:00:07.000Z,-156,-2.91,0
